from	to
000405116900013	A1983PY32000010
000404236300002	A1983PY32000010
000404310000009	A1983PY32000010
000401688400004	A1983PY32000010
000401688400009	A1983PY32000010
000405787700002	A1983PY32000010
000405425000004	A1983PY32000010
000228441200005	A1983QP09900003
000228441200005	A1973R338500003
000228441200005	000074328700008
000228441200005	A1960CBB2500012
000228441200005	000080484700004
000228441200005	A1983PY32000010
000228441200005	000180436700010
000228441200005	A1995QR25200013
000228441200005	000072070700018
000228441200005	A1994QA02800005
000228441200005	A1983RP50300010
000228441200005	000174757700001
000228441200005	A1997YC14700013
000260478800002	000185539100005
000260478800002	000220600700007
000260478800002	A1993LD70400002
000260478800002	000086302700005
000260478800002	A1988Q272700002
000260478800002	000175780600003
000260478800002	000177291800004
000260478800002	000174044100006
000260478800002	A1992JB40500008
000260478800002	A1992KG28000006
000260478800002	A1991GD15900005
000260478800002	A1983PY32000010
000260478800002	A1991EY04800005
000260478800002	000224653500008
000260478800002	A1987F724700005
000260478800002	000087920000002
000260478800002	000072682300007
000260478800002	000090023600001
000260478800002	000175907500008
000260478800002	000208063500001
000260478800002	000172085400008
000260478800002	A1995TJ03700006
000260478800002	000225625200008
000260478800002	000223139500015
000260478800002	A1997XP84600003
000260478800002	A1991FN19900010
000260478800002	A1992HR53000006
000260478800002	A1985AHF9400015
000260478800002	A1994NT30400005
000260478800002	000085102900001
000260478800002	A1996VB40300001
000260478800002	000071543400015
000260478800002	000180460800005
000260478800002	A1992HZ57500002
000260478800002	000167255100112
000260478800002	A1991EY27600010
000260478800002	000222428500005
000260478800002	000173118800004
000260478800002	000180445800002
000260478800002	000226786200005
000260478800002	A1995TA42000020
000260478800002	000187285100035
000260478800002	000169863600006
000260478800002	000209455400001
000260478800002	000187623400006
000260478800002	A1991BU23P00011
000301109100014	A1979GN55500001
A1997WP04700006	A1979GN55500001
A1989CD09200004	A1979GN55500001
A1989AQ98200002	A1979GN55500001
A1989U085900007	A1979GN55500001
A1986F568200009	A1979GN55500001
A1985AWF8100007	A1979GN55500001
A1984SG18000004	A1979GN55500001
A1984SL78900003	A1979GN55500001
A1983RD84500020	A1979GN55500001
A1983RB23100004	A1979GN55500001
A1983RJ72500002	A1979GN55500001
A1981LY73400005	A1979GN55500001
A1981ME77200001	A1979GN55500001
A1981LZ23600015	A1979GN55500001
A1980PA98700004	A1979GN55500001
A1979HU53800016	A1979GN55500001
000502347200003	A1983PY32000010
000502334900005	A1983PY32000010
000501898800006	A1983PY32000010
000500013700003	A1983PY32000010
000500013700010	A1983PY32000010
000499593700005	A1983PY32000010
000499111500003	A1983PY32000010
000499111500006	A1983PY32000010
000497813400002	A1983PY32000010
000496568700005	A1983PY32000010
000490945800002	A1983PY32000010
000490593100001	A1983PY32000010
000485991600011	A1983PY32000010
000471257800001	A1983PY32000010
000500095900001	A1983PY32000010
000499534000001	A1983PY32000010
000501862500001	A1983PY32000010
000533891000018	A1983PY32000010
000503779800001	A1983PY32000010
000501279300001	A1983PY32000010
000497933300001	A1983PY32000010
000498332400001	A1983PY32000010
000497240200004	A1983PY32000010
000533881900006	A1983PY32000010
000498747200001	A1983PY32000010
000497066700001	A1983PY32000010
000496042600002	A1983PY32000010
000532764500037	A1983PY32000010
000532764500053	A1983PY32000010
000496593000001	A1983PY32000010
000496363800001	A1983PY32000010
000495534500001	A1983PY32000010
000494836300001	A1983PY32000010
000494554700001	A1983PY32000010
000494515200001	A1983PY32000010
000494349200001	A1983PY32000010
000494746600002	A1983PY32000010
000527110800004	A1983PY32000010
000504899000025	A1983PY32000010
000504512500015	A1983PY32000010
000500408700005	A1983PY32000010
000500411500009	A1983PY32000010
000500349900003	A1983PY32000010
000499254100006	A1983PY32000010
000497951800008	A1983PY32000010
000496918400001	A1983PY32000010
000492834600004	A1983PY32000010
000492834800008	A1983PY32000010
000491218300036	A1983PY32000010
000489071000003	A1983PY32000010
000487166700007	A1983PY32000010
000485851300012	A1983PY32000010
000484678700025	A1983PY32000010
000493540800001	A1983PY32000010
000492492200001	A1983PY32000010
000495372700001	A1983PY32000010
000532631800009	A1983PY32000010
000491740300001	A1983PY32000010
000491207400001	A1983PY32000010
000494285100001	A1983PY32000010
000497518700001	A1983PY32000010
000492843700001	A1983PY32000010
000490933200001	A1983PY32000010
000532565700048	A1983PY32000010
000497509200002	A1983PY32000010
000475996600045	A1983PY32000010
000490471200001	A1983PY32000010
000490409000001	A1983PY32000010
000489609000001	A1983PY32000010
000488965200001	A1983PY32000010
000489183800001	A1983PY32000010
000489399800001	A1983PY32000010
000540486500001	A1983PY32000010
000487752100003	A1983PY32000010
000477885400011	A1983PY32000010
000497745800008	A1983PY32000010
000491353200004	A1983PY32000010
000496342200002	A1983PY32000010
000494948800034	A1983PY32000010
000493915600011	A1983PY32000010
000493915600015	A1983PY32000010
000493366000002	A1983PY32000010
000492860500003	A1983PY32000010
000490016800004	A1983PY32000010
000489469300001	A1983PY32000010
000488836200010	A1983PY32000010
000487911000004	A1983PY32000010
000487027200002	A1983PY32000010
000487027200003	A1983PY32000010
000486658900007	A1983PY32000010
000486198100012	A1983PY32000010
000485304500003	A1983PY32000010
000484517600002	A1983PY32000010
000488003700001	A1983PY32000010
000532353700046	A1983PY32000010
000488028000001	A1983PY32000010
000587755400001	A1983PY32000010
000486826000001	A1983PY32000010
000489431300001	A1983PY32000010
000485680900016	A1983PY32000010
000486246800001	A1983PY32000010
000491188700001	A1983PY32000010
000486174200001	A1983PY32000010
000484603700001	A1983PY32000010
000485751100001	A1983PY32000010
000488745800002	A1983PY32000010
000481797600004	A1983PY32000010
000482288800008	A1983PY32000010
000469354600004	A1983PY32000010
000516828000007	A1983PY32000010
000507541800001	A1983PY32000010
000501650200020	A1983PY32000010
000501209500002	A1983PY32000010
000496954000001	A1983PY32000010
000496604400022	A1983PY32000010
000494278900028	A1983PY32000010
000487811700005	A1983PY32000010
000487720000002	A1983PY32000010
000487855700004	A1983PY32000010
000487332700006	A1983PY32000010
000486107200029	A1983PY32000010
000485784700014	A1983PY32000010
000485660100009	A1983PY32000010
000484873000007	A1983PY32000010
000483067100008	A1983PY32000010
000483068600011	A1983PY32000010
000483066400004	A1983PY32000010
000482569400005	A1983PY32000010
000481493400011	A1983PY32000010
000481864600017	A1983PY32000010
000478633800009	A1983PY32000010
000474504900004	A1983PY32000010
000473553700015	A1983PY32000010
000471928200003	A1983PY32000010
000484628800001	A1983PY32000010
000484429200001	A1983PY32000010
000483761000001	A1983PY32000010
000487056700001	A1983PY32000010
000483131600027	A1983PY32000010
000482182200030	A1983PY32000010
000482434800004	A1983PY32000010
000483714400001	A1983PY32000010
000481613900001	A1983PY32000010
000472116900010	A1983PY32000010
000480893200001	A1983PY32000010
000481335200001	A1983PY32000010
000480578400001	A1983PY32000010
000480898400001	A1983PY32000010
000481346100001	A1983PY32000010
000480070300001	A1983PY32000010
000479209300001	A1983PY32000010
000478591500001	A1983PY32000010
000493913900008	A1983PY32000010
000490764800031	A1983PY32000010
000481676800001	A1983PY32000010
000478642800019	A1983PY32000010
000478031700010	A1983PY32000010
000478095700002	A1983PY32000010
000478095700010	A1983PY32000010
000476887300014	A1983PY32000010
000475341600017	A1983PY32000010
000475332100006	A1983PY32000010
000475459300010	A1983PY32000010
000474274600012	A1983PY32000010
000473379200019	A1983PY32000010
000473379000018	A1983PY32000010
000472774600017	A1983PY32000010
000471694700006	A1983PY32000010
000470953000001	A1983PY32000010
000479914900001	A1983PY32000010
000480045200001	A1983PY32000010
000478348600001	A1983PY32000010
000479596800001	A1983PY32000010
000478532800001	A1983PY32000010
000478662400001	A1983PY32000010
000479369600001	A1983PY32000010
000478356500001	A1983PY32000010
000475820100001	A1983PY32000010
000477536800001	A1983PY32000010
000474503800087	A1983PY32000010
000476454100001	A1983PY32000010
000481483300001	A1983PY32000010
000474507300001	A1983PY32000010
000474432700034	A1983PY32000010
000474275000001	A1983PY32000010
000473209000007	A1983PY32000010
000468760600005	A1983PY32000010
000468816300002	A1983PY32000010
000468437300005	A1983PY32000010
000465176100004	A1983PY32000010
000530288400005	A1983PY32000010
000517152800004	A1983PY32000010
000508230100020	A1983PY32000010
000507609600003	A1983PY32000010
000504927500006	A1983PY32000010
000493054000008	A1983PY32000010
000486156400013	A1983PY32000010
000485072500012	A1983PY32000010
000482515300024	A1983PY32000010
000481560100022	A1983PY32000010
000481662900002	A1983PY32000010
000478610500001	A1983PY32000010
000476917700036	A1983PY32000010
000477672900014	A1983PY32000010
000474487400006	A1983PY32000010
000474803600023	A1983PY32000010
000474235800009	A1983PY32000010
000473119500015	A1983PY32000010
000472983000002	A1983PY32000010
000472154600006	A1983PY32000010
000472128000029	A1983PY32000010
000471743500020	A1983PY32000010
000471126200001	A1983PY32000010
000470942500031	A1983PY32000010
000470336600004	A1983PY32000010
000470758200001	A1983PY32000010
000470090100015	A1983PY32000010
000469905800011	A1983PY32000010
000469905800019	A1983PY32000010
000469001500011	A1983PY32000010
000468718100002	A1983PY32000010
000465986700011	A1983PY32000010
000463463400002	A1983PY32000010
000463463400004	A1983PY32000010
000463463400007	A1983PY32000010
000473491600001	A1983PY32000010
000472875700003	A1983PY32000010
000471591900001	A1983PY32000010
000471177500001	A1983PY32000010
000471292300001	A1983PY32000010
000471252500001	A1983PY32000010
000471104500003	A1983PY32000010
000475444400003	A1983PY32000010
000471485000001	A1983PY32000010
000472410500001	A1983PY32000010
000493911900016	A1983PY32000010
000483853700002	A1983PY32000010
000482122700003	A1983PY32000010
000475346300147	A1983PY32000010
000474593800003	A1983PY32000010
000474808000006	A1983PY32000010
000472991400030	A1983PY32000010
000472198500002	A1983PY32000010
000472582400009	A1983PY32000010
000471830600019	A1983PY32000010
000471358800009	A1983PY32000010
000471128500005	A1983PY32000010
