PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Lin, HC; Yang, Y; McFatter, R; Biggar, RW; Perkins, R				Lin, Hung-Chu; Yang, Yang; McFatter, Robert; Biggar, Raymond W.; Perkins, Rick			Inmates' empathy in relation to perceived parenting and attachment working models	JOURNAL OF CRIMINAL PSYCHOLOGY																	Yang, Yang/0000-0002-9190-5918												2009-3829						2017	7	4					302	318		10.1108/JCP-09-2016-0024							WOS:000414714500006						
B	McFarland, S		Sibley, CG; Barlow, FK		McFarland, Sam			Identification with All Humanity: The Antithesis of Prejudice, and More	CAMBRIDGE HANDBOOK OF THE PSYCHOLOGY OF PREJUDICE																															978-1-107-09833-6				2017							632	654			10.1017/CBO9781316161579						WOS:000402054600028						
S	Davis, JL; Love, TP		Thye, SR; Lawler, EJ		Davis, Jenny L.; Love, Tony P.			SELF-IN-SELF, MIND-IN-MIND, HEART-IN-HEART: THE FUTURE OF ROLE-TAKING, PERSPECTIVE TAKING, AND EMPATHY	ADVANCES IN GROUP PROCESSES	Advances in Group Processes																												0882-6145		978-1-78743-192-8; 978-1-78743-193-5				2017	34						151	174		10.1108/S0882-614520170000034007	10.1108/S0882-6145201734						WOS:000466497800008						
J	Gambin, M; Sharp, C				Gambin, Malgorzata; Sharp, Carla			The Differential Relations Between Empathy and Internalizing and Externalizing Symptoms in Inpatient Adolescents	CHILD PSYCHIATRY & HUMAN DEVELOPMENT																													0009-398X	1573-3327				DEC	2016	47	6					966	974		10.1007/s10578-016-0625-8							WOS:000386558500011	26792121					
J	Melchers, M; Montag, C; Reuter, M; Spinath, FM; Hahn, E				Melchers, Martin; Montag, Christian; Reuter, Martin; Spinath, Frank M.; Hahn, Elisabeth			How heritable is empathy? Differential effects of measurement and subcomponents	MOTIVATION AND EMOTION																Montag, Christian/H-6536-2019													0146-7239	1573-6644				OCT	2016	40	5					720	730		10.1007/s11031-016-9573-7							WOS:000382755200006						
J	Contardi, A; Imperatori, C; Penzo, I; Del Gatto, C; Farina, B				Contardi, Anna; Imperatori, Claudio; Penzo, Ilaria; Del Gatto, Claudia; Farina, Benedetto			The Association among Difficulties in Emotion Regulation, Hostility, and Empathy in a Sample of Young Italian Adults	FRONTIERS IN PSYCHOLOGY																Imperatori, Claudio/AAA-7775-2019	Imperatori, Claudio/0000-0002-8207-6919; Del Gatto, Claudia/0000-0002-8180-9420; CONTARDI, Anna/0000-0001-5021-2966												1664-1078					JUL 18	2016	7								1068	10.3389/fpsyg.2016.01068							WOS:000379746300001	27486417					
J	Sels, L; Ceulemans, E; Bulteel, K; Kuppens, P				Sels, Laura; Ceulemans, Eva; Bulteel, Kirsten; Kuppens, Peter			Emotional Interdependence and Well-Being in Close Relationships	FRONTIERS IN PSYCHOLOGY																Ceulemans, Eva/AAQ-6617-2020	Ceulemans, Eva/0000-0002-7611-4683; kuppens, peter/0000-0002-2363-2356												1664-1078					MAR 11	2016	7								283	10.3389/fpsyg.2016.00283							WOS:000371758600001	27014114					
J	Tully, EC; Ames, AM; Garcia, SE; Donohue, MR				Tully, Erin C.; Ames, Alyssa M.; Garcia, Sarah E.; Donohue, Meghan Rose			Quadratic Associations Between Empathy and Depression as Moderated by Emotion Dysregulation	JOURNAL OF PSYCHOLOGY																Tully, Erin/L-3980-2016													0022-3980	1940-1019				JAN 2	2016	150	1					15	35		10.1080/00223980.2014.992382							WOS:000365576800002	25565484					
B	Thompson, NM; Luft, CD; Banissy, MJ		Absher, JR; Cloutier, J		Thompson, Nicholas M.; Luft, Caroline Di Bernardi; Banissy, Michael J.			Empathy	NEUROIMAGING PERSONALITY, SOCIAL COGNITION AND CHARACTER																	Thompson, Nicholas/0000-0003-4386-213X														978-0-12-801166-9; 978-0-12-800935-2				2016							289	303		10.1016/B978-0-12-800935-2.00015-4							WOS:000402696900016						
J	Konrath, S; Falk, E; Fuhrel-Forbis, A; Liu, M; Swain, J; Tolman, R; Cunningham, R; Walton, M				Konrath, Sara; Falk, Emily; Fuhrel-Forbis, Andrea; Liu, Mary; Swain, James; Tolman, Richard; Cunningham, Rebecca; Walton, Maureen			Can Text Messages Increase Empathy and Prosocial Behavior? The Development and Initial Validation of Text to Connect	PLOS ONE																Tolman, Richard/AAD-6395-2020; Swain, James/S-2468-2019	Swain, James/0000-0001-8440-0658; Konrath, Sara/0000-0001-9182-0095												1932-6203					SEP 10	2015	10	9							e0137585	10.1371/journal.pone.0137585							WOS:000360965800066	26356504					
